lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1749_hhds_with_indig_persons,1500_1749_other_hhds,1500_1749_total_hhds,1750_1999_hhds_with_indig_persons,1750_1999_other_hhds,1750_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_3499_hhds_with_indig_persons,3000_3499_other_hhds,3000_3499_total_hhds,3500_more_hhds_with_indig_persons,3500_more_other_hhds,3500_more_total_hhds
30410,0,9,9,0,13,14,3,24,29,0,84,87,0,33,40,0,56,56,9,66,69,12,59,72,9,65,76,12,49,56,4,48,54,16,95,107,5,59,66,7,45,55,3,92,95
30450,0,0,0,0,0,0,0,3,3,0,9,7,0,4,3,0,0,3,0,5,5,0,11,11,0,7,7,0,0,0,0,3,3,0,13,14,0,6,9,0,0,6,6,14,17
30760,0,5,5,0,9,9,6,19,17,5,56,61,4,45,52,4,56,61,0,48,50,6,46,51,9,62,64,0,32,30,0,30,31,3,67,72,5,33,37,0,19,19,7,60,64
30900,0,0,0,0,0,3,0,0,3,7,0,4,0,0,4,6,8,11,3,0,8,3,3,13,0,14,15,10,9,11,0,6,7,4,12,12,0,7,7,0,9,9,0,16,15
31000,59,2637,2699,211,4721,4930,328,8083,8408,471,18150,18625,448,15159,15610,585,18953,19538,680,22182,22862,791,28106,28896,898,29922,30822,781,25170,25949,726,24752,25479,1439,54376,55811,957,33629,34580,751,32560,33313,1862,100986,102853
31750,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,4,5,0,7,7,5,11,15,0,11,10,0,5,11,0,3,8,7,9,20,0,4,4,4,8,3,5,12,16
31820,15,316,332,29,531,560,56,1121,1174,137,3270,3408,138,2271,2405,187,3580,3769,203,3059,3263,215,2980,3193,204,2786,2990,163,1895,2057,127,1783,1912,245,3209,3448,141,1891,2029,73,1380,1451,122,2425,2550
31900,0,56,60,6,78,82,17,190,209,27,459,482,30,294,316,41,478,515,41,400,439,46,479,521,43,422,463,20,340,361,28,295,323,56,637,689,26,422,448,12,305,319,27,453,482
31950,0,0,0,0,0,3,3,0,8,0,6,6,6,6,7,4,3,13,0,10,10,10,3,15,3,3,6,6,3,7,3,4,8,5,4,12,5,9,11,0,6,3,3,6,10
32080,31,308,338,136,617,757,173,1235,1409,270,2832,3110,310,2489,2802,416,3084,3501,461,3626,4085,490,4209,4693,527,4268,4796,379,3387,3764,345,3267,3615,684,6298,6984,420,3865,4284,307,3169,3481,522,6158,6680
