lgacode16,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
42110,0,30,29,4,53,57,3,77,86,3,180,184,4,87,94,4,182,191,4,142,141,3,156,160,3,143,148,3,143,144,4,91,97,0,47,47,0,63,63
42250,0,20,20,0,46,46,0,58,57,6,183,185,3,96,97,4,205,207,9,201,209,3,246,252,7,223,227,10,353,359,5,280,280,0,173,174,6,289,297
42600,3,103,106,3,318,325,7,408,417,6,1065,1071,7,812,815,10,1025,1033,4,1098,1106,18,1268,1288,11,1018,1030,19,1561,1585,19,1392,1405,15,884,900,16,2273,2291
42750,0,26,28,3,70,71,0,77,77,9,175,184,3,127,125,4,176,176,3,160,160,0,184,188,0,151,152,0,187,191,4,116,117,0,50,50,0,76,71
43080,0,12,12,0,19,20,0,22,22,0,52,52,0,16,16,0,45,45,0,37,39,0,36,36,0,45,43,0,31,31,0,27,27,0,11,11,0,17,18
43220,0,0,0,0,11,11,0,10,10,0,36,36,0,20,23,0,37,43,0,23,23,0,41,40,0,40,40,0,43,43,0,39,43,0,21,17,0,35,35
43360,0,10,10,0,17,23,0,23,23,0,105,102,5,55,63,3,120,125,3,87,88,0,97,97,3,66,73,0,92,95,4,63,66,0,29,27,0,69,69
43650,0,29,29,0,98,98,0,92,90,3,264,271,7,212,212,4,368,370,8,346,354,6,416,423,7,428,432,19,666,681,9,583,589,0,388,395,9,537,549
43710,0,17,17,0,34,32,3,63,61,0,135,138,3,87,89,3,135,141,5,156,158,8,174,177,3,158,167,3,244,251,3,203,212,0,87,92,4,157,163
43790,3,48,50,9,111,125,3,151,156,8,475,489,11,259,273,11,510,521,17,355,370,13,399,413,8,377,389,12,455,465,9,376,381,5,181,188,3,207,211
43920,0,23,23,3,55,56,3,76,74,3,179,183,11,123,128,3,223,228,3,238,245,7,284,290,6,278,289,12,402,408,11,322,326,10,165,177,11,232,246
44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
44060,10,321,329,24,889,913,17,1322,1338,40,2651,2691,28,1780,1810,35,2611,2646,52,2680,2728,44,2998,3040,39,2656,2698,65,4204,4271,57,3718,3778,31,2267,2301,25,3197,3223
44210,3,35,38,3,119,123,5,162,163,13,462,468,10,215,224,7,438,444,6,304,314,6,309,310,0,248,249,13,327,339,0,197,194,3,97,101,9,126,129
44340,0,171,171,7,415,425,4,485,492,10,1370,1375,7,1072,1082,12,1445,1457,13,1411,1419,20,1846,1867,14,1671,1681,25,2595,2620,15,2393,2403,12,1787,1806,24,4493,4517
44550,0,68,68,8,204,209,3,286,286,7,714,727,10,559,567,13,858,869,18,842,853,18,1016,1032,10,903,917,20,1594,1617,18,1335,1350,18,838,854,19,1315,1329
44620,6,68,73,12,305,320,9,444,456,27,1052,1076,22,608,627,23,972,995,28,832,865,27,923,954,21,795,812,34,1197,1232,21,872,890,4,461,467,9,538,543
44830,0,16,21,0,35,35,3,50,46,5,119,119,0,74,78,5,122,126,3,80,89,0,101,105,0,76,74,3,105,105,0,72,68,3,55,54,5,63,66
45040,3,52,55,18,238,253,24,344,371,26,784,810,30,451,484,38,862,895,41,662,702,36,745,775,24,596,626,43,796,844,32,583,613,19,262,279,10,341,350
45090,0,24,22,6,66,76,3,90,92,4,227,230,5,169,178,4,271,272,3,274,276,6,273,283,6,322,330,14,368,382,4,292,291,4,163,166,0,189,190
45120,0,15,15,0,45,47,4,60,66,3,206,209,4,95,101,8,183,193,0,133,134,3,189,193,0,161,162,5,192,190,3,131,130,0,80,80,0,105,105
45290,0,147,147,10,371,379,4,603,609,10,1190,1199,7,752,760,8,1000,1006,15,969,978,6,1162,1167,16,1005,1017,12,1474,1483,6,1289,1297,12,770,783,17,2409,2423
45340,20,365,388,30,1328,1360,52,1868,1919,88,4906,4996,95,3423,3515,117,5689,5804,109,5220,5327,110,6065,6180,123,5167,5291,131,7722,7846,106,6140,6250,50,3507,3557,60,4317,4383
45400,0,7,7,0,6,6,0,17,20,0,38,38,0,23,24,0,31,31,0,27,27,0,33,33,0,27,25,0,33,33,0,34,34,0,11,11,0,17,17
45540,0,4,4,0,40,40,5,41,53,12,133,141,3,44,50,3,86,91,4,75,77,5,55,59,0,40,44,0,46,49,0,22,23,0,13,14,0,18,18
45680,11,239,255,60,960,1019,54,1342,1394,105,2770,2870,155,1860,2008,136,3154,3289,124,2811,2932,134,2994,3128,123,2494,2614,143,3433,3585,88,2512,2600,40,1158,1201,45,1334,1382
45890,23,389,410,66,1416,1479,70,2095,2164,93,3924,4019,82,2400,2480,97,3811,3904,97,3557,3656,74,4112,4185,100,3501,3595,109,5258,5366,86,4207,4293,49,2547,2593,79,3509,3590
46090,20,35,53,48,101,148,40,180,218,65,349,418,53,243,295,100,315,416,52,322,380,76,368,443,55,322,380,73,455,528,44,355,400,23,221,250,41,333,373
46300,3,32,40,23,154,179,11,241,252,21,449,475,25,279,303,21,487,510,31,388,415,38,472,505,18,376,395,25,553,574,16,456,475,10,251,263,8,339,347
46450,7,55,63,17,239,252,21,353,376,30,837,865,25,399,421,32,736,767,25,530,559,31,514,541,15,442,455,20,620,640,13,499,511,3,299,299,4,367,378
46510,0,44,48,3,171,178,3,194,194,8,445,451,4,319,324,4,456,466,0,466,464,14,621,637,4,504,504,9,878,888,15,788,798,7,509,517,16,1439,1458
46670,0,25,29,6,102,106,5,132,138,10,330,335,4,219,230,8,405,416,10,296,303,20,336,358,8,298,310,12,374,381,8,272,280,0,129,130,3,189,189
46860,0,3,3,0,22,22,0,22,26,0,47,47,0,31,32,0,48,48,0,53,53,0,57,57,3,51,48,0,49,48,0,53,51,0,27,28,0,30,30
46970,0,4,3,0,4,4,0,9,9,0,4,4,3,18,17,0,11,11,0,24,24,0,32,30,4,51,51,5,138,139,7,238,238,5,146,156,17,348,368
47140,13,350,365,44,1212,1261,53,1606,1658,82,3865,3951,101,2624,2723,96,4595,4690,104,4255,4357,125,4992,5117,108,4256,4363,169,6080,6253,107,4566,4672,61,2368,2425,60,2577,2640
47290,0,6,6,0,19,19,0,23,23,0,82,82,0,32,31,0,60,63,4,63,69,3,73,70,3,62,63,0,104,110,0,68,71,0,32,30,3,40,47
47490,0,4,4,0,18,17,0,35,35,0,66,66,0,45,45,0,74,79,0,61,66,0,69,72,0,56,56,0,91,94,3,64,65,0,38,38,0,45,42
47630,0,16,16,3,51,59,0,63,61,3,189,193,3,97,104,4,265,266,0,210,212,3,228,232,5,236,241,3,304,309,0,202,203,0,116,118,4,153,154
47700,14,206,221,14,581,599,15,862,880,27,2376,2401,29,1551,1582,35,2891,2924,26,2746,2773,44,3387,3435,36,2877,2912,78,4614,4686,56,4205,4262,18,2641,2658,41,3738,3782
47800,0,22,22,11,46,53,4,97,107,11,245,257,7,126,133,17,204,229,18,167,182,18,217,234,13,143,152,7,201,215,0,112,117,5,52,60,0,99,101
47910,0,12,11,0,30,31,0,41,41,4,127,129,3,66,66,3,103,101,4,72,75,0,100,101,0,78,78,0,100,100,0,74,74,3,41,44,0,49,54
47980,0,119,119,3,284,286,3,381,380,6,846,854,8,618,631,4,883,890,4,842,851,13,1047,1053,8,953,967,10,1509,1523,6,1394,1399,3,858,862,22,3304,3325
48050,0,48,48,0,133,139,7,242,243,7,811,822,7,509,514,15,921,932,8,621,629,14,687,698,4,475,479,9,490,500,3,308,313,3,143,144,3,218,220
48130,0,22,22,0,55,55,6,113,123,11,284,296,7,136,150,5,233,243,7,199,204,7,283,295,9,218,227,5,254,262,3,189,190,6,94,95,0,154,152
48260,0,30,30,3,86,92,0,89,89,0,166,166,3,98,102,3,142,146,0,161,160,0,180,187,3,168,170,0,285,287,0,282,289,0,161,158,10,697,702
48340,0,49,48,5,118,122,3,183,188,9,478,479,10,238,250,16,438,452,7,364,372,9,375,385,11,350,364,11,460,466,7,349,356,3,186,190,3,285,291
48410,4,184,195,16,552,569,13,859,877,21,1832,1854,3,1255,1266,17,1816,1841,17,1775,1796,24,2068,2095,25,1715,1739,34,2636,2674,26,2251,2275,18,1347,1358,32,2323,2354
48540,10,89,100,42,404,442,37,488,528,30,869,901,32,446,480,45,776,816,33,579,611,25,585,614,20,496,520,29,833,865,27,711,744,22,442,465,24,697,715
48640,0,3,3,0,20,20,0,22,22,0,46,47,0,22,20,0,36,37,3,27,31,3,54,56,0,45,41,0,54,54,4,42,48,0,16,16,0,43,43
48750,0,28,28,3,58,57,0,92,92,0,229,227,0,151,152,0,251,249,4,188,194,3,205,207,6,164,164,3,209,219,3,134,140,0,65,68,0,90,89
48830,0,65,62,16,145,155,10,175,187,14,585,598,11,286,300,17,593,603,8,407,414,9,427,436,6,333,341,11,393,402,5,252,258,4,113,116,0,216,215
49399,0,8,11,20,34,55,11,49,58,16,101,122,10,35,46,16,64,77,23,63,79,14,68,78,6,61,67,13,86,93,10,75,76,4,36,37,3,69,68
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
