lgacode16,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
53920,9,0,14,48,0,49,29,7,31,48,4,48,45,0,51,26,4,27,56,8,63,33,17,55,19,13,34,24,45,66,20,41,61,5,19,27,9,43,54
53990,0,62,68,4,128,135,3,190,199,14,499,512,16,318,328,19,647,666,17,549,567,20,580,600,19,562,581,31,1047,1079,22,1045,1069,10,632,645,15,1176,1196
54060,0,14,14,3,39,42,3,52,59,0,121,123,3,74,80,4,126,126,0,96,99,4,105,105,3,98,96,3,122,124,5,110,116,3,59,63,3,127,126
54130,0,5,5,0,11,11,3,3,6,0,25,25,0,16,18,0,36,36,3,30,35,0,35,34,3,32,34,0,39,39,0,34,35,0,21,25,0,39,39
54170,3,316,316,11,679,686,3,807,815,20,2233,2256,7,1637,1646,28,2655,2680,17,2684,2699,40,3538,3577,30,3146,3180,56,5697,5752,54,6234,6292,44,4556,4599,102,12274,12373
54200,4,130,127,7,279,285,17,363,377,21,1005,1029,14,701,718,16,1186,1202,24,1112,1135,29,1524,1551,29,1343,1373,51,2376,2425,46,2297,2342,30,1553,1580,66,3242,3308
54280,15,37,53,21,119,140,25,172,198,31,316,353,31,205,239,44,343,384,44,314,359,51,478,530,33,528,563,66,1155,1220,66,1329,1393,47,829,874,87,2234,2328
54310,7,15,27,36,24,56,31,33,61,38,48,83,34,43,72,52,64,116,37,113,150,50,176,227,34,194,226,66,518,581,93,855,947,42,468,513,171,2171,2343
54340,0,7,7,5,32,42,3,36,40,8,72,86,13,52,66,5,143,153,4,91,94,13,110,123,7,99,109,14,139,159,7,115,120,3,76,79,3,110,119
54410,0,3,3,3,4,7,0,14,15,4,54,53,0,28,28,7,34,40,3,36,37,0,40,39,3,26,27,3,42,41,0,28,31,0,24,24,0,34,35
54480,0,0,0,0,8,8,0,3,3,0,4,4,0,4,4,0,19,19,0,14,14,0,19,19,0,20,17,0,14,14,0,21,21,0,9,9,0,20,20
54550,0,12,12,4,14,11,5,18,20,3,53,57,3,35,37,3,42,46,0,56,60,0,55,56,4,58,66,0,92,92,0,66,66,0,40,39,3,73,76
54620,0,0,0,4,8,13,4,12,15,0,25,25,3,10,11,0,19,19,0,16,17,3,21,23,0,30,30,3,30,35,0,36,41,0,13,13,0,27,27
54690,0,0,0,0,4,4,0,9,9,0,10,14,0,8,7,0,17,17,0,9,9,0,13,13,0,8,8,0,23,23,0,13,14,0,10,10,0,16,16
54760,0,3,3,0,8,8,0,7,7,0,19,21,0,18,20,3,23,19,0,19,24,0,30,30,0,22,22,3,29,35,0,31,32,0,13,13,0,25,25
54830,3,60,68,12,246,258,21,304,330,30,689,718,33,477,503,33,766,794,33,826,857,40,1073,1107,28,999,1030,48,1706,1752,52,1520,1575,20,938,961,42,1280,1319
54900,0,0,0,0,4,4,0,13,13,0,26,23,0,20,20,3,29,30,3,40,38,0,40,40,0,35,35,0,49,55,4,54,60,0,24,24,0,56,56
54970,3,0,3,10,0,10,3,4,9,9,10,16,6,3,13,6,5,14,9,3,13,3,3,12,8,14,18,6,21,25,0,13,19,0,3,3,4,9,11
55040,0,0,0,3,6,6,5,6,7,3,10,7,4,3,13,0,7,14,7,14,13,3,18,18,0,12,18,5,49,45,5,49,52,0,11,14,5,48,52
55110,7,249,261,22,644,669,26,985,1007,54,2558,2616,52,1590,1640,72,2815,2889,41,2045,2087,60,2422,2477,55,1905,1968,74,2851,2930,73,2563,2638,32,1518,1554,70,3259,3331
55180,3,28,31,0,102,102,3,161,166,6,265,273,9,162,173,8,301,305,9,277,290,8,297,307,3,257,267,13,370,384,7,302,311,6,162,170,7,227,239
55250,0,0,0,10,0,12,3,0,3,6,5,17,4,4,10,6,6,15,5,12,14,4,10,14,12,12,17,7,16,28,6,18,26,0,7,8,0,19,24
55320,0,288,286,18,650,665,10,809,817,22,1935,1953,10,1300,1316,23,1843,1858,17,1790,1803,30,2358,2388,4,1993,1998,22,3431,3454,21,3528,3546,29,2390,2416,64,8819,8881
55390,0,0,0,7,0,6,5,3,4,5,0,3,4,0,6,0,0,3,3,3,6,4,8,10,0,0,0,6,3,7,0,3,6,0,4,3,4,5,7
55460,3,8,11,0,18,19,5,46,45,11,88,96,8,52,56,3,75,78,3,79,79,8,87,93,4,74,78,10,134,137,11,124,137,5,62,71,3,136,138
55530,0,0,0,0,8,4,0,0,0,0,11,9,0,0,3,0,13,15,0,16,17,0,17,17,0,13,13,0,17,21,0,16,16,0,8,8,0,9,9
55600,4,6,7,3,17,15,5,25,29,5,48,58,0,36,40,4,54,62,5,35,42,15,72,86,3,58,70,8,118,122,14,88,102,0,56,51,3,76,77
55670,3,0,3,3,5,6,4,9,12,0,19,16,3,9,14,4,16,20,0,17,20,3,23,23,0,18,20,3,23,27,0,21,26,0,11,12,0,21,20
55740,0,28,28,0,68,67,0,97,98,0,196,197,3,150,156,0,155,157,4,148,151,7,193,197,3,146,148,0,287,287,0,247,250,3,158,157,0,981,984
55810,0,0,0,3,0,3,3,8,10,0,11,9,3,9,15,3,6,12,3,3,9,6,10,17,0,4,6,8,16,21,0,17,17,0,3,8,0,5,10
55880,0,3,3,0,3,3,0,3,3,0,23,23,0,12,12,0,12,12,0,9,9,0,20,20,0,20,20,0,25,25,0,15,15,0,8,6,0,17,22
55950,0,3,3,0,4,4,0,6,6,0,11,13,3,11,10,3,13,17,0,16,16,0,20,22,0,11,11,0,23,30,0,26,26,0,16,16,0,20,20
56090,3,96,99,11,202,211,3,255,259,7,699,708,11,446,460,12,807,818,19,680,698,13,934,950,12,768,782,24,1377,1407,42,1432,1471,25,957,985,53,2145,2198
56160,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,0,3,4,0,5,0,4,3,0,4,4,0,0,0,0,3,3
56230,0,44,48,7,138,142,3,149,153,7,501,507,7,283,295,18,538,554,16,370,384,15,444,457,4,368,375,15,535,554,19,555,576,15,321,336,18,662,683
56300,0,8,4,0,18,18,0,20,20,0,52,56,0,33,33,0,60,60,3,37,41,0,43,43,0,40,38,0,50,50,3,30,32,0,21,21,0,29,29
56370,0,4,4,0,3,3,0,5,5,0,13,14,0,9,10,0,22,22,0,31,33,0,37,37,0,20,20,0,24,29,0,23,27,0,15,15,0,39,39
56460,0,15,12,3,40,39,5,63,71,11,127,137,7,66,75,11,153,165,14,116,131,11,149,163,5,122,128,10,201,218,9,171,181,3,85,87,6,167,171
56580,0,50,50,3,88,91,0,115,121,0,257,257,3,172,173,0,246,251,0,232,229,0,315,318,0,316,316,3,500,501,0,554,555,3,342,348,8,2930,2933
56620,0,0,0,14,0,14,3,0,3,18,0,23,18,0,18,19,0,26,23,7,29,18,5,26,11,5,15,11,7,21,15,15,32,0,3,3,0,12,19
56730,7,31,37,10,96,110,14,129,143,18,329,339,13,178,182,16,337,357,16,247,263,16,285,304,10,248,264,23,398,417,7,351,359,14,204,216,17,346,359
56790,0,13,19,4,29,31,3,57,63,4,119,118,3,68,70,16,138,152,3,76,83,4,90,92,3,97,103,5,109,111,5,96,93,0,45,45,3,93,97
56860,0,0,0,0,0,3,0,8,8,0,3,3,0,4,4,0,8,8,0,5,5,0,13,13,0,7,7,0,9,10,4,6,10,0,0,0,0,3,3
56930,0,3,3,0,3,3,0,8,8,0,12,12,0,15,15,0,19,19,0,14,14,0,20,20,0,22,22,0,32,32,0,32,32,0,21,21,0,235,235
57000,0,3,3,0,3,3,0,4,4,0,14,12,0,3,4,0,3,3,0,13,13,0,14,11,4,24,27,3,9,14,3,13,15,0,10,10,3,19,22
57080,0,84,84,3,192,197,5,216,219,0,308,308,3,250,250,0,300,300,3,402,404,3,568,574,3,548,553,9,1100,1102,13,1171,1184,5,464,462,13,1998,2010
57140,3,4,8,5,11,17,0,19,24,12,37,46,0,19,19,3,45,50,7,26,39,0,33,34,0,22,24,3,38,40,3,21,26,0,14,16,0,28,26
57210,0,14,14,3,48,48,3,64,69,3,203,207,7,106,117,6,177,181,4,138,143,8,174,178,4,143,149,3,174,179,5,126,131,3,92,89,4,114,120
57280,9,11,21,23,16,46,43,21,61,40,32,69,21,25,46,30,50,83,32,66,98,42,110,155,32,125,158,61,397,458,91,502,598,34,258,296,192,1415,1606
57350,0,10,9,0,10,11,0,14,17,4,36,40,0,22,22,7,45,47,3,26,33,3,26,32,3,22,26,0,36,35,0,17,17,0,15,15,0,31,31
57420,0,10,10,0,14,19,0,17,17,4,53,58,0,35,34,3,48,46,0,36,36,0,51,52,4,38,40,0,57,58,3,60,63,0,27,27,3,68,71
57490,10,233,240,21,728,745,21,962,986,42,2346,2393,61,1685,1753,64,2678,2740,60,2360,2418,81,2999,3077,81,2728,2813,145,4923,5070,134,4901,5036,75,2911,2982,132,5699,5830
57630,0,3,3,0,0,0,0,0,0,0,3,3,0,3,7,0,0,0,0,3,3,0,5,5,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0
57700,0,37,35,0,76,78,3,112,113,3,224,227,8,190,199,3,382,387,11,404,414,10,583,593,19,615,638,37,1184,1219,29,1174,1206,21,712,734,31,1336,1371
57770,0,3,3,0,10,16,0,19,22,0,27,31,3,18,20,3,34,38,0,26,21,3,23,31,3,32,36,3,39,43,6,29,35,0,12,12,0,23,26
57840,6,129,132,12,353,366,4,380,387,12,803,818,5,640,648,16,751,765,8,852,864,15,1100,1120,7,976,981,14,1628,1643,12,1652,1659,8,921,928,30,4033,4066
57910,16,602,616,47,1558,1604,51,2324,2377,66,4904,4968,66,3294,3355,49,4769,4825,74,4707,4779,70,6096,6172,79,5430,5511,103,8857,8960,87,8461,8547,56,4923,4980,109,15154,15263
57980,0,92,94,3,186,189,3,232,235,8,387,390,3,298,296,0,321,321,3,334,340,7,495,501,0,423,423,6,785,789,9,812,820,5,414,413,12,2078,2091
58050,18,265,285,47,677,716,39,893,934,67,2026,2094,73,1477,1547,78,2448,2525,87,2516,2602,108,3367,3477,114,3319,3434,159,5789,5947,173,5560,5734,82,3324,3407,154,5924,6071
58190,0,0,0,0,0,0,0,10,10,0,14,16,3,3,8,0,5,7,4,14,17,0,7,6,0,13,13,0,14,14,0,15,15,0,7,7,0,10,10
58260,0,5,5,0,4,11,0,3,3,4,16,21,0,4,3,3,14,14,0,19,19,0,23,25,0,17,14,0,30,30,3,18,19,0,7,7,0,19,19
58330,0,18,18,0,58,58,0,49,44,0,143,144,6,90,93,3,140,145,4,117,119,8,123,127,3,118,119,6,169,171,4,147,147,3,101,107,8,152,158
58400,0,0,0,0,3,4,3,6,6,0,18,18,0,6,11,0,9,9,0,11,17,0,4,4,0,7,7,0,13,13,0,4,4,0,5,5,0,5,5
58470,0,0,0,0,0,3,0,0,3,0,0,0,4,0,10,4,0,4,3,0,0,3,0,7,0,4,7,3,3,3,0,3,3,0,0,4,0,3,3
58510,6,122,129,17,296,309,15,406,423,20,879,895,12,567,580,14,705,720,18,767,788,17,975,988,21,821,844,24,1500,1527,16,1489,1505,18,841,855,28,2380,2405
58540,0,4,5,0,10,10,0,11,11,0,24,24,0,14,21,0,29,30,0,21,20,3,21,27,0,31,31,0,38,38,0,34,34,0,7,7,0,36,36
58570,3,91,95,3,228,234,9,343,348,8,641,647,10,408,419,5,542,542,3,606,608,3,756,765,13,725,739,10,1353,1365,15,1628,1638,6,869,873,33,3562,3593
58610,0,10,10,0,24,31,0,24,24,3,87,88,0,44,39,3,68,71,0,58,61,0,59,65,3,42,44,4,69,74,0,61,64,0,27,29,0,39,44
58680,0,0,0,0,3,4,0,5,5,0,8,8,0,3,3,0,11,11,0,7,7,0,13,13,0,5,12,0,25,25,0,14,14,0,8,8,0,25,25
58760,15,339,358,24,926,958,41,1054,1097,45,2709,2758,63,2102,2166,58,3412,3471,84,3299,3384,70,4413,4483,98,4392,4487,124,7814,7945,122,7996,8116,76,5001,5079,120,8983,9105
58820,0,18,18,0,28,34,3,39,40,4,127,132,5,58,59,5,119,121,3,96,97,0,92,93,0,87,85,3,135,140,0,117,123,3,93,93,8,149,157
58890,0,6,6,0,4,4,0,12,11,4,23,29,0,21,21,3,27,33,0,30,30,3,28,35,0,34,30,3,39,36,0,24,24,0,13,13,0,29,27
59030,0,0,0,0,0,0,0,5,5,0,5,5,0,3,0,0,5,5,0,7,7,0,0,0,0,4,4,0,5,5,0,15,15,0,4,4,0,11,11
59100,0,4,4,0,7,7,0,12,12,0,21,21,0,14,14,3,29,30,0,19,19,0,23,23,3,25,27,0,30,33,3,18,20,0,12,12,0,17,17
59170,0,3,3,0,9,9,0,8,8,0,17,17,0,8,10,0,26,28,0,28,25,0,32,32,0,26,26,0,36,36,0,36,40,0,24,24,0,51,51
59250,0,3,0,3,3,7,3,0,3,4,4,5,3,4,10,3,4,9,8,3,10,3,3,10,3,6,4,7,7,15,3,0,3,3,0,3,0,12,12
59310,0,10,10,0,8,14,0,14,14,11,36,48,5,20,23,0,46,47,6,36,39,3,42,49,4,47,49,7,62,72,0,43,43,0,24,27,0,44,44
59320,0,0,0,0,3,3,0,3,3,0,16,13,0,8,8,0,11,11,0,7,7,0,10,9,0,11,11,0,22,25,0,10,10,0,3,3,0,18,18
59330,0,0,0,0,3,3,0,12,12,0,33,37,0,17,16,0,15,18,0,13,13,0,14,14,0,15,15,0,22,22,0,16,16,0,10,10,0,7,7
59340,8,3,12,25,26,55,20,28,48,54,40,93,29,33,68,53,59,110,71,66,137,60,91,155,35,104,142,55,191,247,47,210,254,25,141,164,50,319,367
59350,0,0,0,0,0,3,0,0,0,3,4,9,0,0,0,0,0,0,0,3,5,3,3,7,0,0,0,3,0,8,5,10,12,0,5,3,0,3,4
59360,0,3,3,0,15,22,0,12,12,3,38,39,0,15,21,3,24,32,0,26,26,3,28,29,0,26,26,0,32,32,0,46,46,0,17,18,3,52,48
59370,0,23,23,0,27,29,6,42,51,4,150,151,0,63,60,5,147,152,3,105,110,5,100,100,6,91,92,9,137,140,3,122,122,0,56,56,5,97,103
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60210,0,35,36,0,114,117,4,147,152,6,380,392,11,185,194,19,321,340,11,221,231,20,213,236,9,167,170,9,154,163,4,107,113,0,53,51,0,67,67
60410,9,32,36,12,120,136,30,238,265,56,405,466,48,282,331,70,498,571,67,447,513,61,499,561,64,430,494,89,611,701,54,508,559,22,239,257,24,278,302
60610,3,57,63,29,196,221,36,318,349,60,751,808,53,441,495,57,753,807,60,546,608,57,704,756,50,504,558,73,725,801,52,510,559,22,293,318,31,371,401
60810,9,43,48,12,199,215,18,314,338,66,867,930,47,457,506,65,838,908,65,690,756,68,650,721,59,580,644,88,837,928,75,584,655,29,322,352,50,447,497
61010,0,13,8,3,27,28,0,46,45,4,128,135,4,43,43,12,101,117,6,73,77,7,78,86,0,65,66,4,72,75,0,42,45,0,20,20,0,34,34
61210,4,14,23,10,55,71,15,92,110,37,220,260,43,143,182,54,266,313,42,198,235,44,221,267,56,199,252,66,273,346,66,199,263,26,104,128,19,122,142
61410,12,90,97,25,378,398,34,617,651,60,1468,1528,59,1067,1122,68,1578,1648,69,1557,1626,87,1826,1919,96,1568,1661,112,2453,2563,81,2053,2131,35,1323,1360,80,2119,2200
61510,0,26,26,3,89,99,12,179,188,13,380,392,14,238,249,29,360,385,13,322,339,24,330,356,15,299,320,28,409,434,17,277,296,4,139,142,7,151,165
61610,0,63,61,26,268,292,31,432,463,63,1084,1148,59,650,712,76,984,1057,75,784,855,67,916,983,80,686,763,97,897,994,60,617,677,33,318,345,36,463,504
61810,3,27,27,11,85,95,3,122,123,9,342,356,9,169,181,16,340,359,13,205,215,10,223,231,9,184,188,7,256,262,7,145,147,0,66,66,3,101,102
62010,0,3,3,4,16,19,3,17,22,12,28,36,6,20,20,8,17,31,13,25,38,9,36,49,3,21,22,8,30,38,6,23,34,4,18,16,0,19,19
62210,0,19,21,5,91,92,10,128,137,18,314,330,3,161,164,14,300,314,23,211,233,16,203,221,15,151,162,5,239,242,7,156,164,3,95,93,4,104,114
62410,0,16,16,0,55,56,3,72,76,8,209,218,9,123,136,12,205,220,10,184,196,12,150,159,11,112,124,11,152,158,3,99,100,0,40,39,0,69,66
62610,9,107,119,42,449,496,54,819,873,90,1857,1938,71,1176,1242,110,1705,1821,112,1540,1647,114,1668,1783,108,1430,1537,120,1970,2088,90,1449,1532,43,764,809,41,784,826
62810,6,163,168,11,494,505,14,575,586,23,1172,1198,22,1001,1018,25,1146,1168,23,1239,1268,42,1648,1695,28,1414,1441,45,2244,2287,34,1918,1957,19,1160,1184,58,3182,3242
63010,4,61,69,11,165,181,11,254,268,56,621,676,38,315,355,75,600,672,64,486,553,64,491,557,57,457,513,97,571,675,70,444,506,23,196,226,36,265,297
63210,0,25,25,3,65,67,3,80,85,14,223,240,9,111,114,19,239,261,9,169,181,17,232,248,12,174,179,17,207,221,13,148,159,7,83,89,8,89,93
63410,0,9,9,0,16,16,0,20,20,0,67,70,0,34,38,0,44,45,3,48,55,0,55,57,5,50,53,4,59,66,3,71,75,0,31,35,0,49,49
63610,0,77,77,10,217,225,13,321,341,43,884,925,34,670,698,52,944,995,35,928,969,44,1188,1228,59,966,1024,86,1558,1645,92,1368,1455,45,824,868,61,1462,1522
63810,0,32,29,3,78,83,15,130,139,20,376,392,23,222,243,33,415,447,14,327,345,26,359,385,27,315,341,41,442,483,18,312,325,9,180,183,19,229,246
64010,19,152,170,54,834,885,55,1047,1101,100,2354,2453,107,1584,1691,147,2305,2448,100,1991,2090,116,2254,2364,99,1879,1979,116,2654,2771,91,1937,2028,41,1059,1095,44,1672,1717
64210,3,52,55,10,204,209,11,264,271,22,721,741,18,438,461,26,761,791,22,568,589,22,654,675,25,532,551,30,752,790,28,597,623,14,355,372,9,438,451
64610,0,36,40,3,118,117,7,176,183,7,475,485,14,282,296,11,516,527,17,410,426,19,448,471,15,380,392,19,512,532,8,375,383,3,242,246,12,250,258
64810,0,25,25,12,131,139,16,176,193,15,483,496,21,296,314,18,503,520,25,469,499,35,476,508,26,464,487,51,623,677,33,489,518,13,242,256,13,306,318
65010,0,17,24,3,66,66,8,71,76,11,232,238,4,114,123,20,213,237,15,171,184,11,210,217,22,159,181,14,260,269,10,171,177,0,80,84,9,110,117
65210,0,5,5,4,45,41,0,43,47,6,117,124,5,60,64,6,126,137,6,84,83,8,81,86,9,58,72,4,71,77,4,55,53,0,14,10,0,25,25
65410,3,44,45,14,176,194,19,227,245,47,587,631,35,267,305,52,563,614,45,416,458,38,408,444,38,365,400,57,459,515,42,375,414,27,202,234,22,259,280
65610,0,21,23,7,68,79,9,93,107,13,224,240,12,74,85,16,131,148,8,120,131,9,112,119,18,113,130,20,157,177,20,123,143,8,63,63,7,83,91
65810,0,53,53,7,190,201,9,281,286,18,717,732,8,444,451,24,869,899,28,712,736,30,784,811,23,624,645,28,952,984,17,760,784,13,465,481,24,629,660
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70200,19,22,39,61,45,101,46,123,175,86,162,251,62,159,219,88,225,313,88,298,382,92,418,507,85,429,515,137,902,1037,136,947,1084,78,640,718,177,1384,1564
70420,21,6,22,47,4,52,21,9,35,84,19,99,48,24,72,62,21,79,88,42,125,72,69,132,75,56,126,100,118,212,49,102,157,30,51,85,37,89,128
70540,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,9,0,9,0,0,0,3,0,3,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0
70620,3,0,3,17,0,18,6,0,6,56,0,56,20,0,17,52,5,57,70,4,76,76,15,88,58,22,81,60,29,88,39,34,73,7,15,19,20,31,47
70700,0,5,6,4,14,21,12,16,28,6,28,39,7,8,13,6,21,23,11,24,34,5,25,33,8,30,44,12,33,40,16,29,43,7,13,24,3,24,28
71000,18,85,104,52,207,255,87,412,499,100,617,717,90,472,564,98,707,806,106,883,991,151,1343,1491,116,1461,1571,208,2855,3066,228,3189,3423,150,2004,2160,471,6514,6977
71300,7,0,9,26,0,26,12,0,12,52,4,57,36,0,35,49,7,53,89,11,99,97,14,109,82,19,100,113,41,156,64,33,103,32,34,63,28,32,61
72200,11,14,22,18,17,35,23,52,74,35,52,82,27,37,68,39,76,122,42,97,132,40,108,147,54,144,196,50,268,317,46,291,337,39,217,261,61,339,400
72300,0,21,21,6,66,70,5,91,95,11,168,176,6,105,115,20,181,197,34,233,263,25,313,336,30,337,369,67,557,621,72,702,768,61,474,532,186,1563,1748
72330,22,0,22,65,3,73,25,0,25,51,8,58,49,5,58,90,9,93,66,18,86,65,28,96,59,30,92,53,40,99,26,29,50,10,16,22,15,34,50
72800,18,17,36,36,70,110,59,145,206,70,217,282,58,169,223,62,260,329,75,316,394,99,476,578,73,544,614,155,1161,1314,163,1332,1494,120,919,1046,305,2517,2821
73600,9,9,16,47,11,59,21,12,38,73,24,88,35,15,52,55,16,72,79,25,105,73,26,101,64,26,89,69,56,129,38,37,71,25,24,40,26,33,58
74050,36,0,36,57,0,61,20,3,22,45,0,45,53,0,55,46,0,46,41,3,41,59,12,62,33,3,32,33,23,50,12,18,27,4,4,7,12,16,30
74550,3,6,8,21,7,31,3,10,14,29,12,41,22,7,28,34,11,41,32,17,44,23,23,47,18,27,44,28,38,62,18,40,55,8,16,32,10,26,29
74560,0,0,0,0,3,0,0,7,9,3,16,14,0,9,9,0,5,11,0,11,13,0,16,15,0,13,12,3,19,17,0,14,18,0,8,8,3,31,32
74660,14,0,14,30,6,33,15,4,12,33,0,33,30,3,32,64,12,75,62,13,76,66,22,93,58,34,91,91,72,157,38,68,106,18,40,59,32,84,120
74680,10,0,10,25,0,25,8,0,8,37,0,37,22,0,27,36,3,36,47,0,46,34,4,44,36,11,44,24,13,40,28,20,39,7,10,20,3,15,21
79399,0,13,13,4,25,24,3,38,41,10,69,76,12,42,51,28,96,120,15,101,116,23,130,149,24,133,156,29,238,268,27,301,328,19,144,162,40,465,504
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89399,24,668,701,86,1742,1826,98,2579,2675,144,4622,4763,108,3734,3843,137,5253,5392,160,6198,6361,182,8806,8986,215,9247,9462,375,16800,17175,372,18265,18642,300,11816,12111,704,36392,37090
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99399,0,13,12,0,24,26,0,32,30,0,83,78,4,63,68,4,82,84,3,95,99,5,119,127,10,104,105,3,170,168,4,149,156,3,77,77,5,135,139
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
